address,lat,long
220 EAST 13 STREET,40.7320544,-73.9869817
378 WEST BROADWAY,40.7237906,-74.0028754
155 WOOSTER STREET,40.7263982,-73.9995526
222 WEST HOUSTON STREET,40.7287888,-74.0047301
64 DOWNING STREET,40.7288382,-74.004878
439 WEST 21 STREET,40.7460368,-74.0037028
427 WEST 21 STREET,40.7459216,-74.0033527
232 EAST 13 STREET,40.7318732,-73.9865559
58 DOWNING STREET,40.7288903,-74.0046291
374 WEST BROADWAY,40.7236095,-74.0029836
27 BEDFORD STREET,40.7291456,-74.0037704
425 WEST 21 STREET,40.7458914,-74.0032805
415 WEST 21 STREET,40.7457487,-74.0029377
205 2 AVENUE,40.7316343,-73.9858993
482 WEST BROADWAY,40.7268785,-74.000285
388 WEST BROADWAY,40.7240294,-74.0026842
474 WEST BROADWAY,40.7267962,-74.00057
23 BEDFORD STREET,40.7290468,-74.0037127
226 VARICK STREET,40.7291483,-74.0050116
405 WEST 21 STREET,40.745584,-74.002602
193 9 AVENUE,40.7456718,-74.0022808
227 EAST 12 STREET,40.731574,-73.9866318
65 SULLIVAN STREET,40.7242819,-74.0038747
464 WEST BROADWAY,40.7264805,-74.0006169
72 CARMINE STREET,40.7294942,-74.0045173
400 WEST 22 STREET,40.7457459,-74.0021004
85 SULLIVAN STREET,40.7248007,-74.0034346
430 WEST 22 STREET,40.7460698,-74.0029521
215 EAST 12 STREET,40.7317744,-73.987108
161 PRINCE STREET,40.7261621,-74.0012122
70 CARMINE STREET,40.7295299,-74.0043982
66 CARMINE STREET,40.7295848,-74.004225
200 SPRING STREET,40.7249599,-74.003413
60 CARMINE STREET,40.7296397,-74.0040555
440 WEST 22 STREET,40.7461878,-74.0032517
442 WEST 22 STREET,40.7462207,-74.0033311
243 EAST 13 STREET,40.7321394,-73.9859822
460 WEST BROADWAY,40.7263927,-74.0006927
188 SPRING STREET,40.7248227,-74.0030738
155 THOMPSON STREET,40.7272106,-74.0009597
3 BEDFORD STREET,40.7288025,-74.0035539
42 DOWNING STREET,40.7290029,-74.0040951
444 WEST 22 STREET,40.7462537,-74.0034105
446 WEST 22 STREET,40.7463141,-74.0034502
214 EAST 14 STREET,40.7325759,-73.9867867
75 THOMPSON STREET,40.7246525,-74.0031135
365 BROOME STREET,40.7198738,-73.9959307
177 PRINCE STREET,40.7264531,-74.0018039
650 BROADWAY,40.7266726,-73.9952881
652 BROADWAY,40.7267384,-73.9952304
348 LAFAYETTE STREET,40.7264914,-73.9944511
452 WEST 22 STREET,40.7463497,-74.0036378
480 WEST 22 STREET,40.7466297,-74.0043055
73 THOMPSON STREET,40.7245948,-74.003164
188 10 AVENUE,40.7465775,-74.0047386
481 WEST 22 STREET,40.7470167,-74.0040312
118 ELIZABETH STREET,40.7191464,-73.9952778
46 MAC DOUGAL STREET,40.7272298,-74.0025544
21 BOND STREET,40.72628,-73.9940037
67 THOMPSON STREET,40.7244247,-74.0033119
33 BOND STREET,40.7260494,-73.9935528
45 BOND STREET,40.72586,-73.9930729
475 WEST 22 STREET,40.7469399,-74.0038544
449 WEST 22 STREET,40.7466736,-74.0032192
130 BOWERY,40.7188939,-73.995249
50 MAC DOUGAL STREET,40.7273094,-74.0024317
63 THOMPSON STREET,40.7242957,-74.0034238
52 MAC DOUGAL STREET,40.7273671,-74.0023848
21 BLEECKER STREET,40.7256871,-73.9932786
447 WEST 22 STREET,40.7466462,-74.0031579
7 CENTRE MARKET PLACE,40.7201374,-73.997536
437 WEST 22 STREET,40.7465199,-74.0028547
162 SPRING STREET,40.7253661,-74.0038965
415 WEST 22 STREET,40.746251,-74.0022159
186 GRAND STREET,40.7195829,-73.9973413
60 MAC DOUGAL STREET,40.7276361,-74.0021864
208 SPRING STREET,40.725259,-74.0038712
129 WEST HOUSTON STREET,40.7276141,-74.0018581
242 10 AVENUE,40.7483287,-74.0033384
246 10 AVENUE,40.748444,-74.0032157
166 MULBERRY STREET,40.7196954,-73.9968831
20 SULLIVAN STREET,40.7248391,-74.003983
248 10 AVENUE,40.7485016,-74.0031724
84 SULLIVAN STREET,40.7251191,-74.0036403
461 WEST 24 STREET,40.7482958,-74.0031543
375 BROOME STREET,40.7200523,-73.9964069
50 KING STREET,40.7275783,-74.0046542
194 ELIZABETH STREET,40.7217045,-73.9942783
44 KING STREET,40.7275619,-74.0044811
25 BLEECKER STREET,40.7257146,-73.993376
433 WEST 24 STREET,40.7479747,-74.0022087
429 WEST 24 STREET,40.7479088,-74.0020499
167 MOTT STREET,40.7198464,-73.9964394
226 BOWERY,40.7222617,-73.9936866
409 BROOME STREET,40.7207879,-73.9982142
42 KING STREET,40.7275564,-74.0044053
27 BLEECKER STREET,40.7257557,-73.9935203
411 WEST 24 STREET,40.7475932,-74.0012993
235 9 AVENUE,40.7475657,-74.0009456
222 BOWERY,40.7221272,-73.9937371
448 WEST 25 STREET,40.7484495,-74.002584100000007
237 CENTRE STREET,40.7202225,-73.9984488
40 KING STREET,40.7275482,-74.0043367
33 BLEECKER STREET,40.7258244,-73.9937584
204 BOWERY,40.7215535,-73.99395
460 WEST 25 STREET,40.7486087,-74.0029342
240 CENTRE STREET,40.7201593,-73.9979148
26 KING STREET,40.7275015,-74.0038425
43 BLEECKER STREET,40.7259589,-73.9941769
264 10 AVENUE,40.748993,-74.0023495
SPRING STREET,40.7221904,-73.9947581
278 10 AVENUE,40.7497341,-74.0020897
462 BROADWAY,40.7208071,-74.0000938
31 CHARLTON STREET,40.7272792,-74.0044738
337 LAFAYETTE STREET,40.7260385,-73.9943357
5 BLEECKER STREET,40.7255004,-73.9926725
441 WEST 26 STREET,40.7496435,-74.0014689
233 MOTT STREET,40.7227036,-73.9953208
365 9 AVENUE,40.751477,-73.9981773
182 LAFAYETTE STREET,40.7207495,-73.998842
658 BROADWAY,40.7269114,-73.995086
221 MOTT STREET,40.7223084,-73.9954724
1 BOND STREET,40.7266561,-73.9947613
440 WEST 33 STREET,40.7529838,-73.9985996
419 BROOME STREET,40.7210349,-73.9988275
29 SPRING STREET,40.7218253,-73.9955193
57 BOND STREET,40.7256184,-73.9924849
371 9 AVENUE,40.752391,-73.998744
1425 WEST 33RD STREET,40.7530442,-73.9994478
53 MERCER STREET,40.721905,-74.0012122
670 BROADWAY,40.7272242,-73.9948154
213 MULBERRY STREET,40.7221081,-73.9964104
676 BROADWAY,40.7273615,-73.9946999
460 WEST 34 STREET,40.7540516,-73.9989785
100 GRAND STREET,40.7214905,-74.0015765
41 CHARLTON STREET,40.7273176,-74.0048707
678 BROADWAY,40.7274301,-73.9946422
55 SPRING STREET,40.7223469,-73.9966232
5 GREAT JONES STREET,40.7272956,-73.9942201
423 9 AVENUE,40.753294,-73.9967408
180 VARICK STREET,40.7274823,-74.0051377
101 CROSBY STREET,40.7235765,-73.9969659
17 CHARLTON STREET,40.7272353,-74.003994
7 GREAT JONES STREET,40.7272571,-73.9941407
408 WEST 34 STREET,40.7532912,-73.9971017
461 WEST 34 STREET,40.7546801,-73.9986681
47 MERCER STREET,40.7217595,-74.0013348
475 BROADWAY,40.7215208,-74.0006854
366 LAFAYETTE STREET,40.7271693,-73.9939784
550 BROADWAY,40.7235464,-73.9979977
31 GREAT JONES STREET,40.7268262,-73.9932785
444 WEST 35 STREET,40.7545264,-73.997542
40 MERCER STREET,40.7212435,-74.0009235
200 VARICK STREET,40.7282535,-74.0047914
83 SPRING STREET,40.7229617,-73.9981024
47 KING STREET,40.7280477,-74.0048022
33 GREAT JONES STREET,40.726774,-73.9931558
454 WEST 35 STREET,40.7547844,-73.9981087
442 10 AVENUE,40.7549024,-73.9985129
44 MERCER STREET,40.7214823,-74.000956
37 GREAT JONES STREET,40.7267191,-73.9930259
565 BROADWAY,40.7242573,-73.9981456
55 GREAT JONES STREET,40.7264226,-73.9924667
444 WEST 36 STREET,40.7553004,-73.9974409
549 BROADWAY,40.7239224,-73.9986471
450 WEST 36 STREET,40.7553992,-73.9976755
465 BROOME STREET,40.7222838,-74.0014395
45 MAC DOUGAL STREET,40.727798,-74.0025725
332 BOWERY,40.7259835,-73.9923405
453 WEST 36 STREET,40.7558713,-73.9976502
547 BROADWAY,40.7237797,-73.9987698
430 WEST 37 STREET,40.7557313,-73.9965566
341 WEST BROADWAY,40.7225225,-74.0033912
5 KING STREET,40.7278062,-74.0028503
28 BOND STREET,40.7265874,-73.9934805
26 BOND STREET,40.7266286,-73.9935635
122 GREENE STREET,40.7248584,-73.999264
2 BOND STREET,40.7270952,-73.9944979
458 WEST 37 STREET,40.7561869,-73.9975311
495 BROOME STREET,40.7230029,-74.0029042
3 KING STREET,40.727809,-74.0027637
100 PRINCE STREET,40.7246278,-73.9990656
307 MOTT STREET,40.7252205,-73.9941986
344 BOWERY,40.7263238,-73.9921889
447 WEST 37 STREET,40.7563516,-73.9968742
445 WEST 37 STREET,40.7563187,-73.9967948
51 WOOSTER STREET,40.7228382,-74.0025218
441 WEST 37 STREET,40.7562528,-73.9966396
363 LAFAYETTE STREET,40.7269662,-73.9936717
96 PRINCE STREET,40.7246031,-73.9989177
684 BROADWAY,40.7277979,-73.9943175
64 GRAND STREET,40.72227,-74.0030593
292 ELIZABETH STREET,40.7247429,-73.9930875
119 MERCER STREET,40.7241365,-73.9993217
296 ELIZABETH STREET,40.7248801,-73.9930478
686 BROADWAY,40.7279104,-73.9942453
431 WEST 37 STREET,40.7561759,-73.996358
9 AVENUE,40.7555885,-73.995037
40 WOOSTER STREET,40.7222042,-74.0024749
109 SPRING STREET,40.7237001,-73.9996681
469 BROOME STREET,40.7225226,-74.0017605
4 BLEECKER STREET,40.7252314,-73.9927086
32 EAST 4 STREET,40.7272735,-73.992427
38 EAST 4 STREET,40.7271555,-73.9921997
432 WEST 38 STREET,40.75639,-73.9961378
434 WEST 38 STREET,40.7563818,-73.9962281
90 GREENE STREET,40.7239087,-74.0001191
438 WEST 38 STREET,40.7564696,-73.9963941
41 GREENE STREET,40.7220862,-74.0021321
304 BOWERY,40.7248005,-73.9927555
358 BOWERY,40.7270704,-73.9919796
502 10 AVENUE,40.7570872,-73.9966792
115 SPRING STREET,40.7238209,-73.9999423
507 9 AVENUE,40.756121,-73.9946724
76 GRAND STREET,40.722034,-74.002565
2 BLEECKER STREET,40.7251848,-73.9925354
356 BOWERY,40.7269386,-73.991994
352 BOWERY,40.7268096,-73.9920085
92 GREENE STREET,40.7239691,-73.9997619
348 BOWERY,40.7266422,-73.9920266
539 9 AVENUE,40.7571584,-73.9938926
477 BROOME STREET,40.7226104,-74.0020744
301 MULBERRY STREET,40.7252892,-73.994913
44 9TH AVENUE,40.7410798,-74.0045469
54 GREAT JONES STREET,40.7267191,-73.9921817
108 WOOSTER STREET,40.7246937,-74.000368
46 GREAT JONES STREET,40.7269387,-73.9924053
335 WEST 14 STREET,40.7407367,-74.0040525
329 WEST 14 STREET,40.7406269,-74.0037963
45 GREENE STREET,40.7221712,-74.0020852
54 BLEECKER STREET,40.7258244,-73.9949887
88 BLEECKER STREET,40.726582,-73.9964065
42 GREAT JONES STREET,40.7269908,-73.9925064
325 WEST 14 STREET,40.7405638,-74.0036375
47 GREENE STREET,40.7222481,-74.001995
102 WOOSTER STREET,40.7244906,-74.0005412
92 AVENUE OF THE AMER,40.7231236,-74.0047405
627 BROADWAY,40.7262609,-73.9966735
GREAT JONES STREET,40.7271281,-73.9927553
14 EAST 4 STREET,40.7279955,-73.9937763
323 WEST 14 STREET,40.7405281,-74.0035617
318 WEST 15 STREET,40.7406215,-74.0029699
127 GREENE STREET,40.724013,-74.0003391
320 WEST 15 STREET,40.7406544,-74.0030493
23 THOMPSON STREET,40.7230715,-74.0044699
505 LA GUARDIA PLACE,40.7271365,-73.9990223
380 LAFAYETTE STREET,40.727603,-73.9937835
413 WEST BROADWAY,40.7247733,-74.001371
688 BROADWAY,40.72799,-73.9941118
328 WEST 15 STREET,40.7407889,-74.0033669
342 WEST 15 STREET,40.740959,-74.0037711
24 THOMPSON STREET,40.7228327,-74.0041452
171 SULLIVAN STREET,40.7279572,-74.0008334
645 BROADWAY,40.7268043,-73.9959411
140 PRINCE STREET,40.7254897,-74.000819
81 BLEECKER STREET,40.7269773,-73.9963127
85 8 AVENUE,40.7403443,-74.0026054
357 WEST 16 STREET,40.7422052,-74.0036773
527 BROOME STREET,40.7237302,-74.00412
179 SULLIVAN STREET,40.7281878,-74.0006386
130 PRINCE STREET,40.7253387,-74.0005087
1 WASHINGTON SQ VLLGE,40.7280752,-73.9971966
347 WEST 16 STREET,40.7420707,-74.0033597
101 WOOSTER STREET,40.7246772,-74.0010066
343 WEST 16 STREET,40.7420048,-74.0032009
344 WEST 17 STREET,40.7422354,-74.0030349
6 SPRING STREET,40.7209689,-73.9944155
88 WEST HOUSTON STREET,40.7272546,-73.9998413
543 LA GUARDIA PLACE,40.7284842,-73.9980192
535 LA GUARDIA PLACE,40.728605,-73.9982646
105 WOOSTER STREET,40.7248556,-74.0008623
44 WEST 4 STREET,40.7289809,-73.9962946
149 8 AVENUE,40.742057,-74.0012522
174 BOWERY,40.7205599,-73.9943181
92 WEST HOUSTON STREET,40.7273122,-73.9999567
153 SPRING STREET,40.7246141,-74.0015008
94 WEST HOUSTON STREET,40.7273396,-74.0000144
17 WEST 3 STREET,40.7286735,-73.9956704
14 WEST 4 STREET,40.7283112,-73.9949272
335 WEST 18 STREET,40.7433635,-74.0025262
303 WEST 18 STREET,40.742562,-74.0010429
152 ELIZABETH STREET,40.720387,-73.9947907
90 THOMPSON STREET,40.7251356,-74.0020997
180 MOTT STREET,40.7205463,-73.9956276
100 WEST HOUSTON STREET,40.7273836,-74.0002057
216 THOMPSON STREET,40.728874,-73.9989861
161 8 AVENUE,40.7424687,-74.0009058
114 THOMPSON STREET,40.7257806,-74.0016091
312 WEST 19 STREET,40.7429765,-74.0010862
156 BLEECKER STREET,40.7284293,-74.0002093
68 WEST 3 STREET,40.7292857,-73.9983583
324 WEST 19 STREET,40.7431247,-74.0015229
196 MOTT STREET,40.7210897,-73.9954147
534 LA GUARDIA PLACE,40.7287916,-73.9986831
156 PRINCE STREET,40.7257641,-74.0013638
532 LA GUARDIA PLACE,40.7286791,-73.9987588
154 9 AVENUE,40.7441924,-74.0026742
24 SPRING STREET,40.7213313,-73.9952704
496 LA GUARDIA PLACE,40.7274686,-73.9997799
188 AVENUE OF THE AMER,40.7262527,-74.0033012
194 BLEECKER STREET,40.7291621,-74.0016813
149 BLEECKER STREET,40.7284568,-73.9992351
361 WEST 19 STREET,40.7439618,-74.002389
359 WEST 19 STREET,40.7439262,-74.002306
14 SPRING STREET,40.7211474,-73.9949061
58 WASHINGTON SQUARE S,40.7298785,-73.9981996
118 SULLIVAN STREET,40.7262252,-74.0028899
227 SULLIVAN STREET,40.7295903,-73.9994408
203 MOTT STREET,40.7214795,-73.9956492
182 SULLIVAN STREET,40.7284293,-74.0010644
161 AVENUE OF THE AMERICAS,40.725915,-74.0047515
172 SULLIVAN STREET,40.7281685,-74.0012844
90 WEST 3 STREET,40.7298621,-73.9993181
86 WEST 3 STREET,40.729744,-73.9991521
356 WEST 20 STREET,40.7442089,-74.00227
179 MOTT STREET,40.7206094,-73.9960461
40 CHARLTON STREET,40.7268647,-74.0048418
231 THOMPSON STREET,40.729508,-73.9990222
165 BLEECKER STREET,40.7288438,-74.000018
305 WEST 21 STREET,40.7444477,-73.9998737
384 BROOME STREET,40.7205957,-73.9964682
170 SULLIVAN STREET,40.7281219,-74.0013241
303 WEST 21 STREET,40.7442446,-73.9996608
20 CHARLTON STREET,40.7267906,-74.0041022
308 WEST 22 STREET,40.744681,-73.9996752
182 MULBERRY STREET,40.72084,-73.9964357
169 BLEECKER STREET,40.7289206,-74.0001696
9 VANDAM STREET,40.7265079,-74.004095
104 MAC DOUGAL STREET,40.7293241,-74.0007433
106 MAC DOUGAL STREET,40.7293872,-74.0006927
324 WEST 22 STREET,40.7449225,-74.000249
72 MAC DOUGAL STREET,40.728207,-74.001822
344 WEST 22 STREET,40.7452107,-74.0009347
11 VANDAM STREET,40.7265189,-74.0041888
360 WEST 22 STREET,40.7454413,-74.0014833
54 SPRING STREET,40.7218885,-73.9967171
2 BEDFORD STREET,40.7288739,-74.0031498
122 MAC DOUGAL STREET,40.7298483,-74.0002995
124 MAC DOUGAL STREET,40.729906,-74.000249
19 VANDAM STREET,40.7265518,-74.0045387
130 MAC DOUGAL STREET,40.7300871,-73.9999206
361 WEST 22 STREET,40.7458036,-74.0011765
225 LAFAYETTE STREET,40.722001,-73.9969588
8 BEDFORD STREET,40.7289892,-74.0032617
23 VANDAM STREET,40.7265683,-74.0047083
22-24 DOWNING STREET,40.7293542,-74.0030885
214 SULLIVAN STREET,40.7294751,-74.0001732
210 SULLIVAN STREET,40.7292912,-74.0003319
315 WEST 22 STREET,40.7451558,-73.9996391
41 CROSBY STREET,40.7215372,-73.9986327
266 BOWERY,40.7234611,-73.99325
49 CROSBY STREET,40.7218556,-73.9983513
281 AVENUE OF THE AMER,40.7299581,-74.002522
55 WASHINGTON SQUARE S,40.7302079,-73.998416
362 WEST 23 STREET,40.7461275,-74.0010791
358 WEST 23 STREET,40.7460122,-74.0009058
260 BOWERY,40.7232525,-73.9933185
322 WEST 23 STREET,40.7454385,-73.9995453
343 WEST 25 STREET,40.7474916,-73.9991699
224 LAFAYETTE STREET,40.7221328,-73.9975612
273 AVENUE OF THE AMER,40.7298538,-74.0027169
249 SULLIVAN STREET,40.7304302,-73.9988923
6 AVENUE,40.7301667,-74.0017427
256 MOTT STREET,40.723538,-73.9944261
12 MINETTA STREET,40.730035,-74.0013855
111 MAC DOUGAL STREET,40.7299993,-74.0007541
346 WEST 26 STREET,40.7475904,-73.9986935
222 LAFAYETTE STREET,40.7221109,-73.9976875
280 MOTT STREET,40.7241666,-73.9941663
13 DOWNING STREET,40.7297577,-74.0029009
109 MAC DOUGAL STREET,40.7299252,-74.000819
332 9 AVENUE,40.7502281,-73.9982676
334 9 AVENUE,40.750283,-73.9982279
212 LAFAYETTE STREET,40.7218172,-73.9979364
17 DOWNING STREET,40.7297083,-74.0030596
107 MAC DOUGAL STREET,40.7299142,-74.0009561
336 9 AVENUE,40.7503324,-73.9981918
245 ELIZABETH STREET,40.7234282,-73.9941158
359 WEST 29 STREET,40.7502473,-73.9980077
496 BROADWAY,40.7219572,-73.9993362
97 MAC DOUGAL STREET,40.7295848,-74.0011041
233 ELIZABETH STREET,40.7231263,-73.9942601
95 MAC DOUGAL STREET,40.7295245,-74.0011546
303 WEST 29 STREET,40.7494403,-73.9960877
19 DOWNING STREET,40.7296754,-74.0031174
189 BLEECKER STREET,40.7294064,-74.001252
387 8 AVENUE,40.7493223,-73.9958712
498 BROADWAY,40.7220368,-73.9992713
46 CARMINE STREET,40.7298291,-74.0033591
17 PRINCE STREET,40.7229259,-73.994188
118 WEST 3 STREET,40.7303506,-74.0004618
324 WEST 30 STREET,40.749992,-73.9969033
510 BROADWAY,40.7223359,-73.9990151
19 PRINCE STREET,40.7229534,-73.9942638
206 VARICK STREET,40.7287476,-74.0050584
116 WEST 3 STREET,40.730315,-74.0003825
350 WEST 30 STREET,40.7503104,-73.997405
23 PRINCE STREET,40.723,-73.9944009
354 WEST 30 STREET,40.7503461,-73.997488
438 BROOME STREET,40.7217705,-73.9992063
29 BEDFORD STREET,40.729206,-74.0038065
117 MAC DOUGAL STREET,40.7302052,-74.0005809
320 AVENUE OF THE AMER,40.7312152,-74.0009381
356 WEST 30 STREET,40.7503708,-73.9975458
288 MULBERRY STREET,40.7245262,-73.9949347
358 WEST 30 STREET,40.7503955,-73.9976071
341 WEST 29 STREET,40.7499975,-73.9974195
450 BROOME STREET,40.7222454,-74.0003968
68 CARMINE STREET,40.7295601,-74.0043116
132 WEST 4 STREET,40.7310368,-74.0001335
131 MAC DOUGAL STREET,40.7307322,-74.0001119
41 EAST HOUSTON STREET,40.7246469,-73.9948878
121 WEST 3 STREET,40.7307322,-74.0003103
359 WEST 30 STREET,40.7508072,-73.9974555
349 WEST 30 STREET,40.7506837,-73.9971632
341 WEST 30 STREET,40.7505657,-73.9968817
511 BROADWAY,40.7225638,-73.9997908
80 GREENE STREET,40.7234503,-74.0003463
53 DOWNING STREET,40.7292993,-74.0043982
123 WEST 3 STREET,40.7307898,-74.0003536
47 PRINCE STREET,40.723571,-73.9957393
131 WEST 3 STREET,40.7309353,-74.0006386
323 WEST 30 STREET,40.7503241,-73.9963114
122 SPRING STREET,40.7236013,-74.0002994
644 BROADWAY,40.7264804,-73.995418
403 LAFAYETTE STREET,40.7281354,-73.9923944
411 8 AVENUE,40.7501402,-73.995373
654 BROADWAY,40.7268043,-73.9951726
49 PRINCE STREET,40.7236177,-73.9958619
409 LAFAYETTE STREET,40.7283028,-73.9921743
415 8 AVENUE,40.7503104,-73.9953658
456 BROOME STREET,40.7224677,-74.0006855
53 PRINCE STREET,40.7237055,-73.9959954
458 BROOME STREET,40.7225061,-74.0007648
31 BOND STREET,40.7260796,-73.9936357
415 LAFAYETTE STREET,40.728451,-73.9921274
325 WEST 33 STREET,40.7522619,-73.9951022
365 WEST 34 STREET,40.7533927,-73.9957771
129 CROSBY STREET,40.7246195,-73.9960531
333 WEST 34 STREET,40.7532911,-73.9948928
464 BROOME STREET,40.7226187,-74.0009921
35 BOND STREET,40.7259863,-73.9933976
34 COOPER SQUARE,40.7283384,-73.9915934
32 COOPER SQUARE,40.7282478,-73.9916403
472 9 AVENUE,40.7547623,-73.9949071
580 BROADWAY,40.7244329,-73.9970344
474 9 AVENUE,40.7548227,-73.9948638
468 BROOME STREET,40.722679,-74.0011076
49 BOND STREET,40.7257969,-73.9929106
16 COOPER SQUARE,40.7279157,-73.9917594
29 EAST 4 STREET,40.7277401,-73.9922754
595 BROADWAY,40.7252536,-73.9975214
443 LAFAYETTE STREET,40.7295132,-73.991236
361 WEST 36 STREET,40.7546278,-73.9946725
64 WOOSTER STREET,40.7232637,-74.0015802
7 BOND STREET,40.72656,-73.9945665
708 BROADWAY,40.7285334,-73.9932098
307 WEST 36 STREET,40.7540376,-73.9929076
146 GREENE STREET,40.7257092,-73.9984342
521 8 AVENUE,40.7537384,-73.9927993
76 WOOSTER STREET,40.7235656,-74.0013313
41 BOND STREET,40.7259094,-73.9931956
722 BROADWAY,40.7290412,-73.9932674
151 MERCER STREET,40.7251164,-73.9984955
736 BROADWAY,40.7295599,-73.9928633
320 WEST 37 STREET,40.754389,-73.9933623
80 WOOSTER STREET,40.7236507,-74.0012483
3 GREAT JONES STREET,40.727334,-73.9942959
430 LAFAYETTE STREET,40.7292607,-73.9924664
330 WEST 38 STREET,40.7552563,-73.9934994
142 WOOSTER STREET,40.7257971,-73.9994336
575 8 AVENUE,40.7550311,-73.9918066
84 WOOSTER STREET,40.7238263,-74.0010751
9 GREAT JONES STREET,40.7272187,-73.9940614
752 BROADWAY,40.7302488,-73.9922751
113 PRINCE STREET,40.7253579,-73.9995815
21 ASTOR PLACE,40.7301225,-73.9917952
310 WEST 39 STREET,40.7554429,-73.9920339
125 PRINCE STREET,40.7254924,-73.9998557
318 WEST 39 STREET,40.7556241,-73.9924634
83 GREENE STREET,40.7237934,-74.0006855
334 BOWERY,40.7260576,-73.9922972
19 WEST 4TH STREET,40.7291538,-73.9949993
32 WAVERLY PLACE,40.7303341,-73.9955981
518 9 AVENUE,40.7562417,-73.9939036
81 GREENE STREET,40.7237001,-74.0007684
52 BOND STREET,40.7260686,-73.9925353
121 GREENE STREET,40.725454,-73.9992856
12 WAVERLY PLACE,40.7299607,-73.9944905
7 WASHINGTON PLACE,40.7296478,-73.9944941
337 WEST 39 STREET,40.7562746,-73.9928388
333 WEST 39 STREET,40.7561675,-73.9925897
451 WEST BROADWAY,40.7259151,-74.0003896
308 WEST 40 STREET,40.7560741,-73.9916188
480 BROOME STREET,40.7230276,-74.0018291
48 BOND STREET,40.7262031,-73.9927085
20 BOND STREET,40.7267493,-73.9938052
3 WASHINGTON PLACE,40.7295051,-73.9942452
50 EAST 8 STREET,40.7309077,-73.9938085
310 WEST 40 STREET,40.7561235,-73.9917343
492 BROOME STREET,40.7233076,-74.0024749
459 WEST BROADWAY,40.7261237,-74.0002345
3 WASHINGTON SQUARE N,40.7308886,-73.9976042
346 WEST 40 STREET,40.7566918,-73.9930842
463 WEST BROADWAY,40.726239,-74.0001335
356 WEST 40 STREET,40.7568455,-73.9932574
498 BROOME STREET,40.7233844,-74.00263
47 GREAT JONES STREET,40.726505,-73.9926291
6 WASHINGTON SQUARE N,40.7312399,-73.9959084
6 EAST 8 STREET,40.7318108,-73.9958506
538 9 AVENUE,40.7569114,-73.9934162
500 BROOME STREET,40.7234173,-74.002695
54 BOND STREET,40.7259094,-73.9923694
471 WEST BROADWAY,40.7264668,-73.9999387
12 EAST 8 STREET,40.7316735,-73.9956377
536 9 AVENUE,40.7567989,-73.9934198
473 WEST BROADWAY,40.7265244,-73.9998882
243 WEST 14 STREET,40.739551,-74.0013244
241 WEST 14 STREET,40.7395154,-74.0012414
144 SPRING STREET,40.7240624,-74.0013565
GREAT JONES STREET,40.7272955,-73.993163
16 EAST 8 STREET,40.7316241,-73.9955187
475 WEST BROADWAY,40.7265766,-73.9998376
2 5 AVENUE,40.7319975,-73.9970665
26 WASHINGTON SQUARE N,40.7322527,-73.9982031
233 WEST 14 STREET,40.7394248,-74.0009599
203 WEST 14 STREET,40.7388923,-73.9997907
83 WOOSTER STREET,40.7239773,-74.0016018
34 EAST 4 STREET,40.7272323,-73.9923548
147 WOOSTER STREET,40.7261402,-73.9997691
354 BOWERY,40.7268947,-73.9920193
7 MAC DOUGAL ALLEY,40.7325547,-73.9978351
210 WEST 15 STREET,40.7393534,-73.9999783
64 THOMPSON STREET,40.7240926,-74.0029872
135 WOOSTER STREET,40.7257943,-74.0000649
11 MAC DOUGAL ALLEY,40.7324696,-73.9976944
340 AVENUE OF THE AMER,40.7317285,-74.0005953
218 WEST 15 STREET,40.7394824,-74.0002887
258 WEST 15 STREET,40.7400396,-74.0016744
80 THOMPSON STREET,40.7245345,-74.0026229
661 BROADWAY,40.7273999,-73.9957102
131 PRINCE STREET,40.7256571,-74.0002742
143 WEST 4 STREET,40.731583,-74.0001912
32 WASHINGTON SQUARE W,40.7318602,-73.9992495
260 WEST 15 STREET,40.7401027,-74.0017213
178 SPRING STREET,40.724658,-74.0025687
149 WOOSTER STREET,40.7262555,-73.9996717
222 THOMPSON STREET,40.7290826,-73.9988346
77 WEST WASHINGTON PLCE,40.7321512,-73.9996717
100 8 AVENUE,40.7402235,-74.0018115
98 8 AVENUE,40.7401933,-74.0018693
170 SPRING STREET,40.7245784,-74.0023992
360 AVENUE OF THE AMER,40.7324888,-74.0000036
228 THOMPSON STREET,40.7292198,-73.9986903
163 PRINCE STREET,40.726217,-74.0013241
88 WEST WASHINGTON PLCE,40.7319618,-74.0004149
217 WEST 14 STREET,40.739175,-74.0003681
132 THOMPSON STREET,40.7264531,-74.0010174
214 WEST 15TH STREET,40.739433,-74.0001732
400 WEST BROADWAY,40.7244055,-74.0023703
230 THOMPSON STREET,40.7293296,-73.9986506
48 WEST 8 STREET,40.7329774,-73.9988273
259 WEST 15 STREET,40.7404101,-74.0013532
140 THOMPSON STREET,40.7266315,-74.0007613
253 WEST 15 STREET,40.7403251,-74.0011512
251 WEST 15 STREET,40.7402921,-74.0010754
396 WEST BROADWAY,40.7243176,-74.0024425
76 WEST 3 STREET,40.7294668,-73.9985315
44 WEST 8 STREET,40.7329499,-73.9986433
40 WEST 8 STREET,40.7329252,-73.9983799
145 SULLIVAN STREET,40.7269801,-74.0016416
177 MAC DOUGAL STREET,40.7328401,-73.9984124
241 WEST 15 STREET,40.7401659,-74.0007722
392 WEST BROADWAY,40.7242051,-74.0025399
