address,lat,long
76 BEAVER STREET,40.7051314,-74.0088509
81 PEARL STREET,40.7041295,-74.0103403
75 BROAD STREET,40.7046838,-74.0112385
14 SOUTH WILLIAM STREET,40.7046894,-74.0107985
2 COENTIES SLIP,40.7036574,-74.0104052
78 PEARL STREET,40.7037562,-74.0102609
40 WATER STREET,40.7035092,-74.0102465
77 WATER STREET,40.7042257,-74.008198
95 WALL STREET,40.7046759,-74.0075813
99 WALL STREET,40.7047912,-74.0072603
1 PIER 11,40.7029962,-74.0059365
120 WALL STREET,40.7047611,-74.0059583
110 WALL STREET,40.7049093,-74.006355
88 PINE STREET,40.7056614,-74.0061676
110 MAIDEN LANE,40.7061471,-74.0068024
130 WATER STREET,40.7057738,-74.007246
40 WALL STREET,40.7070143,-74.0097348
28 LIBERTY STREET,40.7077691,-74.0091254
141 GREENWICH STREET,40.7098329,-74.0126028
112 TRINITY PLACE,40.709564,-74.0119463
105 WASHINGTON STREET,40.7084713,-74.0140417
110 GREENWICH STREET,40.7087294,-74.0135801
94 GREENWICH STREET,40.7081118,-74.0138216
80 WEST STREET,40.7094292,-74.0143413
140 WASHINGTON STREET,40.709846400000004,-74.0139735
148 WASHINGTON STREET,40.7104475,-74.0139051
97 WEST STREET,40.7104338,-74.0141756
185 GREENWICH STREET,40.711639,-74.0123434
189 BROADWAY,40.710426,-74.0098291
181 BROADWAY,40.7102394,-74.009995
177 BROADWAY,40.7101186,-74.010096
53 NASSAU STREET,40.7090262,-74.0091256
14 MAIDEN LANE,40.709287,-74.0093817
25 MAIDEN LANE,40.7092733,-74.0088587
19 LIBERTY STREET,40.7083922,-74.0086818
48 JOHN STREET,40.7090318,-74.0080687
84 WILLIAM STREET,40.7079751,-74.0077187
15 GOLD STREET,40.7078873,-74.0071164
80 JOHN STREET,40.7081426,-74.0068567
4 PLATT STREET,40.7073905,-74.0065068
110 JOHN STREET,40.7076815,-74.0061894
180 WATER STREET,40.7069953,-74.0055437
165 FRONT STREET,40.7059688,-74.004779
MARGINAL STREET,40.7007808,-74.0109133
1 SOUTH STREET,40.7009177,-74.014444
1 WATER STREET,40.7021531,-74.0120207
32 WATER STREET,40.7033801,-74.010957
102 BROAD STREET,40.703144,-74.0119091
39 WHITEHALL STREET,40.7029353,-74.0126808
11 BROADWAY,40.7052819,-74.0142719
25 BROADWAY,40.7057595,-74.0140015
21 WEST STREET,40.7063823,-74.0155345
17 BATTERY PLACE,40.7056,-74.0158373
70 BATTERY PLACE,40.7072988,-74.0177024
200 LIBERTY STREET,40.710645,-74.0155571
225 LIBERTY STREET,40.7124538,-74.015305
325 NORTH END AVENUE,40.7169525,-74.0150103
345 CHAMBERS STREET,40.7180094,-74.0138417
201 WARREN STREET,40.7171475,-74.0136828
380 RECTOR PLACE,40.7090773,-74.01806
300 RECTOR PLACE,40.70891,-74.0175477
102 NORTH END AVENUE,40.71499,-74.0152768
333 RECTOR PLACE,40.7096923,-74.0172413
200 NORTH END AVENUE,40.7159726,-74.0147539
56 GREENWICH STREET,40.7064236,-74.0147193
81 GREENWICH STREET,40.7075958,-74.01345
39 BROADWAY,40.7063442,-74.0134281
45 BROADWAY,40.7065418,-74.0132658
50 BROADWAY,40.7062318,-74.0124398
1 WALL STREET,40.7071211,-74.0118304
41 BROAD STREET,40.7057516,-74.0110872
15 WILLIAM STREET,40.7053674,-74.0103586
45 WALL STREET,40.7062073,-74.0099187
5 HANOVER SQUARE,40.7050683,-74.0092332
85 BROAD STREET,40.7039922,-74.0110544
17 SOUTH WILLIAM STREET,40.7044506,-74.0104558
46 WATER STREET,40.7037754,-74.010077
44 WATER STREET,40.7036052,-74.0101022
42 WATER STREET,40.7035586,-74.010178
100 OLD SLIP,40.7036768,-74.0083566
111 WALL STREET,40.7042642,-74.006997
13 SOUTH STREET,40.7035699,-74.0050096
NA,40.7040969,-74.0040936
129 FRONT STREET,40.7051014,-74.0060665
72 WALL STREET,40.7059604,-74.0079024
54 PINE STREET,40.7068497,-74.0084832
80 MAIDEN LANE,40.7070858,-74.0078016
109 WASHINGTON STREET,40.7085729,-74.0139984
111 WASHINGTON STREET,40.7087842,-74.0139263
106 GREENWICH STREET,40.7085427,-74.0136666
71 WEST STREET,40.7090229,-74.0144963
155 CEDAR STREET,40.7103844,-74.0140349
150 BROADWAY,40.7091799,-74.0100742
10 MAIDEN LANE,40.7093419,-74.0094791
16 MAIDEN LANE,40.7092678,-74.0092699
8 LIBERTY PLACE,40.7092046,-74.0093348
63 NASSAU STREET,40.7093776,-74.0087613
12 JOHN STREET,40.7098305,-74.009104
83 MAIDEN LANE,40.707536,-74.0073616
13 GOLD STREET,40.7077912,-74.0071055
80 SOUTH STREET,40.7056532,-74.0044868
170 JOHN STREET,40.7059085,-74.0042812
MARGINAL STREET,40.7074785,-73.9983084
26 CLIFF STREET,40.7080439,-74.0051759
30 CLIFF STREET,40.7080905,-74.005028
7 DUTCH STREET,40.7095204,-74.0076684
7 WORLD TRADE CENTER,40.7133325,-74.0118748
34 PARK ROW,40.7114637,-74.0070374
19 ANN STREET,40.710901,-74.0077227
25 PARK ROW,40.711299,-74.0074053
119 FULTON STREET,40.7100996,-74.0069363
111 FULTON STREET,40.7099294,-74.0066008
35 ANN STREET,40.7105936,-74.0071852
116 NASSAU STREET,40.7106156,-74.0069147
120 NASSAU STREET,40.7107858,-74.0068101
124 NASSAU STREET,40.7108572,-74.0067163
25 BEEKMAN STREET,40.7106266,-74.0061861
49 BEEKMAN STREET,40.7099405,-74.0054141
57 BEEKMAN STREET,40.7096605,-74.0051832
156 WILLIAM STREET,40.7100338,-74.0056991
80 GOLD STREET,40.7092516,-74.003607
49 FULTON STREET,40.7082662,-74.0041191
